Species,x,y
1,88.27882,22.72879
1,88.28777,22.67817
1,88.291554,21.582258
1,88.292313,24.830364
1,88.301578,22.645744
1,88.30706,21.635075
1,88.308949,21.612734
1,88.31408333,21.71147222
1,88.319935,21.682459
1,88.322868,21.662767
1,88.340363,21.63699
1,88.342423,21.684852
1,88.363037,22.541648
1,88.414536,22.612574
1,88.41494,22.47355
1,88.50949,21.73417
1,88.5151,21.57304
1,88.51685,21.78908
1,88.52138,21.62152
1,88.52194,21.77096
1,88.5293,21.6419
1,88.53043,21.66454
1,88.53043,21.8021
1,88.53383,21.83719
1,88.53553,21.58926
1,88.53893,21.72341
1,88.54685,21.81738
1,88.54742,21.75115
1,88.54968,21.66964
1,88.55195,21.86323
1,88.55251,21.77606
1,88.55534,21.9238
1,88.558474,24.393889
1,88.56327,21.73247
1,88.56779,21.85248
1,88.56893,21.9521
1,88.56949,21.79247
1,88.57063,21.677
1,88.57232,21.69794
1,88.57685,21.64134
1,88.57742,21.75738
1,88.57912,21.82927
1,88.57968,21.91984
1,88.58478,21.62435
1,88.58591,21.65888
1,88.58591,21.89663
1,88.58704,21.78059
1,88.58761,21.71096
1,88.591,21.81285
1,88.59893,21.75115
1,88.59893,21.98437
1,88.60459,21.797
1,88.60459,21.87795
1,88.60798,21.8587
1,88.60798,21.93512
1,88.61082,21.83663
1,88.61421,21.72172
1,88.61591,21.81851
1,88.61874,21.77945
1,88.62214,21.90172
1,88.62497,21.74945
1,88.626366,25.58193
1,88.62893,21.97531
1,88.63119,21.95323
1,88.63742,21.78964
1,88.64308,21.84172
1,88.65044,21.87625
1,88.651428,23.820526
1,88.65157,21.97135
1,88.65157,22.00078
1,88.65553,21.90286
1,88.6595,21.95437
1,88.67195,22.0172
1,88.67818,21.9838
1,88.68667,22.00475
1,88.69949,21.83632
1,88.70106,21.6896
1,88.70893,21.87487
1,88.71157,21.99852
1,88.71208,21.78282
1,88.71483,21.89532
1,88.72191,21.70612
1,88.72453,21.96193
1,88.72663,21.85795
1,88.72684,21.93777
1,88.72899,21.66245
1,88.72899,21.6837
1,88.73371,21.79659
1,88.73417,21.9794
1,88.7345,21.77299
1,88.73489,21.64515
1,88.73529,21.75096
1,88.73568,21.59637
1,88.73686,21.87684
1,88.74158,21.84497
1,88.74158,21.89965
1,88.74743,21.96013
1,88.74872,21.91816
1,88.74984,21.73365
1,88.75102,21.81232
1,88.7522,21.62666
1,88.75496,21.60306
1,88.75535,21.70966
1,88.75614,21.75961
1,88.760948,24.280455
1,88.76249,21.97398
1,88.764,21.66757
1,88.76429,21.99205
1,88.7649,22.03965
1,88.76597,21.82609
1,88.7661,21.94928
1,88.7661,22.02157
1,88.76715,21.9028
1,88.76791,22.08302
1,88.76833,21.85402
1,88.7703,21.80013
1,88.77108,21.69196
1,88.77266,21.64239
1,88.77305,21.76945
1,88.77384,21.71988
1,88.77777,21.60699
1,88.78878,21.69982
1,88.78996,21.82137
1,88.79036,21.74781
1,88.79201,22.05531
1,88.79201,22.0764
1,88.79232,21.87841
1,88.79468,21.78558
1,88.79548,21.92495
1,88.79803,22.0282
1,88.79822,21.71634
1,88.79923,22.00049
1,88.80216,21.66167
1,88.80285,21.97037
1,88.804293,23.893842
1,88.80688,21.91027
1,88.81239,21.80564
1,88.81671,21.7246
1,88.81907,21.69628
1,88.820858,23.352815
1,88.82213,22.02579
1,88.82301,21.66639
1,88.82423,22.00149
1,88.82634,22.07037
1,88.8271,21.92398
1,88.832788,24.199218
1,88.83357,22.10953
1,88.8352,21.88903
1,88.83953,21.68606
1,88.83992,21.63846
1,88.8405,21.97948
1,88.841972,23.617632
1,88.84228,21.7368
1,88.84529,22.00628
1,88.84577,22.0503
1,88.84683,22.07459
1,88.85246,21.8211
1,88.85342,21.84598
1,88.85438,21.78474
1,88.86156,21.88618
1,88.86299,21.98187
1,88.86443,22.04408
1,88.86825,22.06178
1,88.87333,22.08001
1,88.874,22.02542
1,88.87653,21.58886
1,88.87687,21.84694
1,88.8783,21.94694
1,88.88165,21.99527
1,88.88261,21.97087
1,88.890166,23.049052
1,88.8917,21.76464
1,88.893127,23.027292
1,88.89505,22.03451
1,88.89649,22.01585
1,88.89792,21.92637
1,88.90175,21.99766
1,88.90223,21.97374
1,88.90462,21.94503
1,88.92137,21.98331
1,88.92232,22.05413
1,88.9228,22.03594
1,88.93094,22.00149
1,88.93476,21.93881
1,88.93955,21.97422
1,88.94242,21.78474
1,88.94242,22.11537
1,88.95151,21.63258
1,88.95773,22.09575
1,88.95869,22.15365
1,88.95917,21.75411
1,88.95965,22.01393
1,88.96012,22.18475
1,88.96395,22.05365
1,88.96491,22.07661
1,88.96587,21.96178
1,88.96635,22.12159
1,88.96778,21.92206
1,88.97065,21.98618
1,88.97257,21.81105
1,88.97687,21.67086
1,88.98022,22.10867
1,88.98118,21.70339
1,88.98214,22.14743
1,88.98357,22.09097
1,88.98501,21.87852
1,88.98596,22.19289
1,88.99027,21.98522
1,88.990631,24.422769
1,88.99171,22.05508
1,88.99314,21.94599
1,88.9941,21.64215
1,88.99505,22.02446
1,88.99601,22.12255
1,88.999042,23.943037
1,89.00367,22.07231
1,89.008484,24.401198
1,89.00989,21.96608
1,89.01228,21.90914
1,89.01372,22.16561
1,89.01611,22.1905
1,89.02233,21.63736
1,89.02472,22.02398
1,89.02568,22.05173
1,89.02568,22.12303
1,89.02616,22.10293
1,89.02998,21.99623
1,89.03094,22.08044
1,89.0386,21.96417
1,89.0386,22.1637
1,89.04003,22.20389
1,89.04195,21.66463
1,89.0429,21.73641
1,89.04297,24.478513
1,89.04434,22.03546
1,89.04769,22.12686
1,89.0496,21.68617
1,89.05534,22.14839
1,89.06348,22.00963
1,89.06874,22.13164
1,89.09792,22.337056
1,89.117146,24.50152
1,89.159803,24.317222
1,89.169245,23.438128
1,89.18088,22.21736
1,89.24984,22.754021
1,89.290438,23.806785
1,89.534111,23.777019
1,89.62,26.65
1,89.64938,22.35692
1,89.759159,22.647443
1,89.806023,23.698136
1,89.809799,23.305054
1,89.81386,22.16254
1,89.962234,24.164923
1,89.962578,22.034412
1,90.053043,22.477348
1,90.133235,23.815501
1,90.149689,23.829948
1,90.163165,23.681326
1,90.320492,23.474387
1,90.40686,23.66272
1,90.52597,23.542114
1,90.65617,21.94822
1,90.66639,23.855384
1,90.733681,24.899828
1,90.77923,26.69013
1,90.838737,24.666518
1,90.852385,22.740961
1,91.068,25.15663
1,91.091423,22.666452
1,91.15816048,23.74054612
1,91.300592,24.103983
1,91.406422,24.379388
1,91.565552,22.769534
1,91.600227,24.599265
1,91.62632,24.636407
1,91.666624,24.366582
1,91.71006,24.362
1,91.736269,24.707305
1,91.78163,24.754236
1,91.810856,24.540409
1,91.819482,22.195352
1,91.822112,22.433086
1,91.943378,22.351187
1,91.964493,24.567733
1,91.989212,24.651386
1,92.027892,24.59673
1,92.07242,24.67349
1,92.093333,24.466667
1,92.123065,24.838816
1,92.254601,25.007762
1,92.41366,26.427422
1,92.736122,26.185161
1,93.008204,24.790699
1,93.177367,26.573847
1,93.19153,26.62208
1,93.19366,26.59607
1,93.2137,26.60588
1,93.23118,26.63274
1,93.23843,26.58456
1,93.24099,26.61697
1,93.25378,26.65193
1,93.25506,26.60375
1,93.25677,26.63232
1,93.26785,26.58627
1,93.27937,26.62336
1,93.28448,26.66217
1,93.29557,26.6788
1,93.2977,26.5884
1,93.29855,26.64383
1,93.31177,26.66174
1,93.31646,26.63317
1,93.32414,26.59735
1,93.32712,26.61569
1,93.32797,26.67922
1,93.33053,26.65406
1,93.33863,26.63701
1,93.36678,26.65065
1,93.36806,26.60716
1,93.36806,26.63189
1,93.37957,26.66558
1,93.3817,26.69457
1,93.39492,26.61953
1,93.39961,26.70694
1,93.40302,26.6886
1,93.41112,26.66472
1,93.42818,26.61825
1,93.43713,26.70139
1,93.43841,26.64767
1,93.44864,26.61782
1,93.46741,26.63189
1,93.46954,26.65193
1,93.47082,26.67368
1,93.47295,26.69415
1,93.48105,26.71888
1,93.4947,26.66643
1,93.5126,26.70736
1,93.5271,26.67283
1,93.54586,26.67965
1,93.56453,25.862139
1,94.35459836,26.66328068
1,94.642632,26.981641
1,96.47358,27.45303
0,96.77083333,28.1875
0,84.27083333,18.72916667
0,87.47916667,25.6875
0,88.27083333,24.4375
0,81.97916667,23.85416667
0,78.47916667,15.27083333
0,96.14583333,26.64583333
0,68.0625,26.4375
0,88.97916667,26.35416667
0,92.5625,25.14583333
0,86.1875,23.77083333
0,79.52083333,15.9375
0,80.3125,29.0625
0,80.39583333,16.14583333
0,92.14583333,26.72916667
0,76.89583333,28.3125
0,89.22916667,22.0625
0,94.85416667,26.77083333
0,78.89583333,28.5625
0,78.60416667,15.97916667
0,76.8125,28.89583333
0,80.0625,28.9375
0,89.35416667,25.1875
0,86.52083333,23.97916667
0,95.39583333,27.47916667
0,94.3125,26.85416667
0,78.14583333,28.0625
0,85.72916667,27.5625
0,87.22916667,24.47916667
0,85.77083333,22.60416667
0,69.72916667,26.1875
0,86.4375,23.64583333
0,76.9375,25.85416667
0,82.89583333,26.6875
0,77.27083333,29.64583333
0,87.9375,26.4375
0,93.02083333,25.3125
0,93.60416667,27.14583333
0,92.14583333,22.52083333
0,84.3125,25.6875
0,79.5625,15.8125
0,93.3125,25.5625
0,76.64583333,29.14583333
0,86.4375,24.0625
0,82.35416667,17.97916667
0,78.1875,26.6875
0,92.35416667,26.22916667
0,96.6875,26.6875
0,86.27083333,22.27083333
0,82.8125,25.64583333
0,81.47916667,23.52083333
0,91.27083333,24.64583333
0,82.39583333,16.85416667
0,84.8125,27.8125
0,78.60416667,15.39583333
0,78.10416667,27.52083333
0,80.64583333,16.6875
0,80.64583333,26.47916667
0,93.1875,25.27083333
0,77.52083333,29.22916667
0,89.72916667,23.3125
0,81.89583333,25.39583333
0,69.35416667,26.97916667
0,79.39583333,28.39583333
0,84.39583333,19.0625
0,84.9375,26.3125
0,91.10416667,25.97916667
0,84.6875,26.97916667
0,88.47916667,26.0625
0,79.02083333,29.27083333
0,90.8125,27.4375
0,93.14583333,25.4375
0,89.52083333,22.22916667
0,81.97916667,23.47916667
0,91.89583333,24.72916667
0,68.22916667,26.27083333
0,82.8125,18.1875
0,78.85416667,29.35416667
0,89.9375,22.27083333
0,78.64583333,29.85416667
0,77.89583333,29.1875
0,77.9375,28.35416667
0,79.85416667,28.60416667
0,75.64583333,26.47916667
0,88.3125,26.47916667
0,81.85416667,16.9375
0,85.02083333,28.27083333
0,79.02083333,15.60416667
0,93.14583333,27.0625
0,86.4375,23.89583333
0,81.4375,27.4375
